Graph Name,Version,Heuristic,Tour,Cost,Time
100-city problem A (Krolak/Felts/Nelson),Greedy,Nearest Neighbour,0-62-5-48-89-9-83-71-20-73-58-16-14-10-31-90-97-22-44-46-92-27-66-57-60-24-80-68-72-49-43-1-53-39-63-67-84-38-29-95-77-51-4-36-32-75-12-94-81-47-99-70-40-13-2-45-28-33-82-54-11-26-85-34-19-56-6-8-86-50-76-59-61-42-91-7-41-88-30-79-55-96-74-18-52-78-17-23-37-35-98-93-21-15-87-69-65-64-3-25-0,26856.39,0.2305ms
100-city problem A (Krolak/Felts/Nelson),Semi-Greedy-3,Nearest Neighbour,0-91-5-89-9-20-71-73-16-14-10-31-97-90-22-76-19-85-26-11-56-6-54-8-50-24-86-82-45-2-28-33-42-13-47-51-95-77-4-32-75-81-49-72-43-63-53-1-67-68-80-57-60-66-7-41-88-79-30-74-48-83-37-23-35-98-17-87-93-21-69-52-18-96-64-65-3-25-15-62-92-44-59-34-27-39-94-38-36-84-29-99-12-70-46-58-61-78-55-40-0,50685.71,0.6207ms
100-city problem A (Krolak/Felts/Nelson),Semi-Greedy-5,Nearest Neighbour,0-27-46-62-9-48-91-74-55-41-88-30-3-64-25-18-89-78-52-69-65-21-17-87-83-35-23-15-37-93-5-71-73-14-31-10-58-20-90-97-76-61-59-22-92-66-60-86-8-56-11-6-26-34-82-54-28-42-33-45-2-40-47-70-29-95-51-4-32-81-94-12-38-49-67-80-72-68-43-53-24-57-19-84-36-77-1-50-13-75-99-44-16-96-79-85-98-63-7-39-0,57814.11,0.6023ms
