Graph Name,Version,Heuristic,Tour,Cost,Time
100-city problem D (Krolak/Felts/Nelson),Greedy,Nearest Neighbour,0-49-33-80-37-65-7-51-45-60-73-6-74-66-35-28-57-21-41-22-10-89-16-93-31-96-97-48-69-88-26-23-87-78-12-40-83-14-62-53-90-76-42-70-3-43-92-59-52-4-2-82-39-5-58-84-17-24-19-8-9-25-86-54-91-18-36-50-99-1-47-29-34-61-63-15-95-85-64-13-67-32-44-98-30-77-79-75-71-56-68-72-38-81-46-20-55-94-27-11-0,26950.46,0.2804ms
100-city problem D (Krolak/Felts/Nelson),Semi-Greedy-3,Nearest Neighbour,0-33-37-7-51-65-80-26-23-87-40-72-14-62-15-53-76-63-84-5-2-39-82-17-19-9-8-25-91-18-36-50-1-29-47-34-61-99-52-43-59-4-54-86-20-94-46-55-24-11-13-67-64-32-44-77-79-98-71-30-56-75-60-6-74-73-66-57-28-21-88-10-16-93-96-89-69-48-41-97-49-12-31-22-35-45-68-95-58-3-42-90-83-70-92-78-38-85-27-81-0,43294.67,0.5815ms
100-city problem D (Krolak/Felts/Nelson),Semi-Greedy-5,Nearest Neighbour,0-49-26-87-78-83-14-90-62-15-95-13-67-77-64-85-76-63-39-58-5-24-19-17-8-9-20-27-11-94-25-4-52-3-70-43-59-2-61-50-99-34-18-47-29-91-82-81-44-79-75-71-30-98-68-72-53-40-38-23-33-65-7-22-51-60-73-45-41-57-28-6-35-66-21-88-16-48-96-31-10-89-69-97-93-74-12-37-84-54-86-46-32-56-36-42-92-1-80-55-0,56247.88,0.5791ms
