Graph Name,Version,Heuristic,Tour,Cost,Time
105-city problem (Subproblem of lin318),Greedy,Nearest Neighbour,0-1-5-6-9-10-14-102-20-21-28-29-30-31-27-22-19-18-23-26-25-24-17-15-16-8-7-2-11-32-35-36-41-42-45-51-52-57-56-53-50-46-43-40-103-39-44-47-49-54-55-58-104-61-62-69-73-74-80-68-72-75-79-78-76-71-67-66-70-77-81-82-83-84-85-88-89-98-97-92-91-90-95-96-100-101-63-48-38-37-34-33-13-12-4-3-59-60-64-65-86-87-93-94-99-0,20362.76,0.2166ms
105-city problem (Subproblem of lin318),Semi-Greedy-3,Nearest Neighbour,0-1-9-5-2-6-10-102-19-29-28-30-27-32-31-22-23-26-24-25-16-15-18-17-11-20-103-39-44-49-55-104-54-53-46-45-42-51-52-50-57-43-47-48-58-66-67-70-81-77-82-84-85-78-71-72-75-80-74-68-69-79-83-63-61-56-40-35-21-14-8-13-12-33-38-37-36-34-3-4-7-62-60-65-86-87-93-98-97-92-91-90-100-96-95-76-88-89-73-64-59-41-101-94-99-0,31849.71,0.7482ms
105-city problem (Subproblem of lin318),Semi-Greedy-5,Nearest Neighbour,0-1-2-5-9-10-14-102-21-29-31-27-19-18-15-23-17-26-24-16-36-42-43-45-40-50-51-53-56-52-41-35-103-32-28-6-7-25-11-22-44-47-49-39-46-54-58-104-63-67-81-83-77-66-71-76-82-70-72-68-73-69-80-89-74-78-85-75-84-95-91-92-90-88-97-94-86-65-87-64-59-38-34-13-12-37-60-62-48-20-4-3-33-61-98-100-101-99-79-93-55-8-57-96-30-0,40413.91,0.5918ms
