Graph Name,Version,Heuristic,Tour,Cost,Time
52 locations in Berlin (Groetschel),Greedy,Nearest Neighbour,0-21-48-31-35-34-33-38-39-37-36-47-23-4-14-5-3-24-45-43-15-49-19-22-30-17-2-18-44-40-7-9-8-42-32-50-11-27-26-25-46-12-13-51-10-28-29-20-16-41-6-1-0,8980.92,0.0589ms
52 locations in Berlin (Groetschel),Semi-Greedy-3,Nearest Neighbour,0-48-35-33-34-36-37-23-47-14-39-38-31-17-2-18-44-40-9-7-42-4-24-5-45-43-15-19-49-22-29-20-21-30-41-1-6-16-28-3-27-26-12-13-25-11-50-32-8-10-46-51-0,13257.14,0.3749ms
52 locations in Berlin (Groetschel),Semi-Greedy-5,Nearest Neighbour,0-21-48-33-43-34-39-47-4-23-36-35-37-3-24-38-45-14-42-9-18-2-31-17-44-40-16-20-30-15-49-19-29-41-22-1-7-32-11-5-27-25-13-26-51-12-10-6-28-46-50-8-0,16510.08,0.2509ms
