Graph Name,Version,Heuristic,Tour,Cost,Time
100-city problem B (Krolak/Felts/Nelson),Greedy,Nearest Neighbour,0-94-97-11-70-26-60-34-93-56-33-6-83-57-51-53-42-88-86-59-73-65-3-82-5-14-32-81-63-13-41-1-12-77-16-44-35-95-91-18-43-40-17-23-76-15-49-54-21-22-87-36-71-64-78-80-46-55-99-25-68-61-4-66-39-38-69-52-72-84-92-10-2-27-90-96-98-7-28-31-58-75-89-20-85-48-29-74-79-19-37-45-24-8-67-9-62-30-47-50-0,29155.04,0.2332ms
100-city problem B (Krolak/Felts/Nelson),Semi-Greedy-3,Nearest Neighbour,0-94-11-97-28-31-7-96-98-90-27-92-84-10-2-72-9-67-20-89-24-26-70-45-8-37-19-74-29-85-68-99-55-80-64-78-46-79-36-71-53-57-6-33-56-73-86-59-65-93-83-51-88-49-42-13-41-63-32-14-5-3-1-12-15-17-23-44-35-16-95-40-18-77-62-30-50-81-82-76-21-87-54-91-47-22-43-60-75-58-52-38-66-4-39-69-25-48-34-61-0,45384.18,0.7970ms
100-city problem B (Krolak/Felts/Nelson),Semi-Greedy-5,Nearest Neighbour,0-20-89-97-94-31-7-98-90-27-2-92-10-72-38-69-4-61-99-29-74-19-37-79-64-46-55-78-25-68-48-24-33-8-70-34-11-45-56-83-53-57-59-86-65-73-88-51-49-15-76-23-35-95-17-91-44-12-41-63-13-1-81-30-16-40-47-62-50-77-32-42-3-5-82-93-71-26-58-28-75-84-39-66-80-36-21-18-87-85-60-9-52-6-14-96-22-67-54-43-0,61708.95,0.5830ms
