Graph Name,Version,Heuristic,Tour,Cost,Time
100-city problem C (Krolak/Felts/Nelson),Greedy,Nearest Neighbour,0-52-84-26-14-12-78-63-19-54-41-66-30-46-5-53-74-21-7-16-24-89-33-57-97-87-27-38-37-70-55-4-42-85-49-71-82-61-1-34-67-29-88-40-58-2-72-68-73-56-35-99-32-44-80-96-9-91-98-18-13-3-59-92-48-17-28-36-60-25-77-8-81-6-31-23-45-11-39-64-79-76-22-69-75-90-93-94-20-65-43-62-15-50-47-83-10-51-95-86-0,26327.36,0.2280ms
100-city problem C (Krolak/Felts/Nelson),Semi-Greedy-3,Nearest Neighbour,0-52-26-14-84-11-92-48-17-36-15-43-62-50-8-81-25-60-31-45-23-77-6-65-18-98-13-56-73-99-44-32-96-9-80-95-86-51-10-47-35-91-3-39-28-68-58-40-29-1-34-79-30-64-12-63-19-41-46-66-5-21-7-24-89-33-16-97-27-38-37-70-4-55-42-71-82-49-61-74-53-76-67-20-22-90-94-85-75-88-2-59-78-72-69-93-54-57-87-83-0,45230.28,0.5848ms
100-city problem C (Krolak/Felts/Nelson),Semi-Greedy-5,Nearest Neighbour,0-84-39-52-45-23-36-17-11-28-31-25-77-60-81-50-62-65-91-18-13-73-56-80-96-44-32-9-35-68-58-2-40-72-88-34-29-22-20-75-49-61-71-82-38-87-37-85-94-93-90-69-1-5-53-74-21-24-33-97-89-16-7-46-30-66-19-63-78-12-26-14-64-79-41-76-67-54-70-57-4-27-59-92-98-3-43-83-51-47-99-10-86-6-15-48-55-95-42-8-0,57090.37,0.5711ms
