Graph Name,Version,Heuristic,Tour,Cost,Time
101-city problem (Christofides/Eilon),Greedy,Nearest Neighbour,0-68-26-100-52-57-39-25-11-79-67-76-2-78-77-33-80-32-50-8-70-34-64-65-19-29-69-30-87-61-9-89-62-31-10-18-46-47-81-6-51-17-59-82-83-4-98-58-91-36-97-84-92-95-93-5-88-12-94-96-86-1-56-14-42-41-99-90-15-60-16-44-7-45-35-48-63-49-75-27-20-72-71-73-21-74-55-38-22-66-24-54-53-3-23-28-40-13-43-85-37-0,819.32,0.2530ms
101-city problem (Christofides/Eilon),Semi-Greedy-3,Nearest Neighbour,0-69-29-50-32-2-78-77-8-34-64-70-65-31-9-61-10-62-89-87-6-51-26-68-30-17-59-83-82-44-45-7-81-47-35-46-18-48-88-95-93-12-57-39-25-11-67-75-49-80-19-33-28-76-79-53-3-55-73-71-74-72-20-1-56-86-96-91-36-99-97-84-60-92-90-15-85-37-13-42-41-58-5-4-94-100-27-52-98-16-43-21-40-14-38-66-22-54-63-23-24-0,1101.11,0.5835ms
101-city problem (Christofides/Eilon),Semi-Greedy-5,Nearest Neighbour,0-49-76-78-80-8-77-33-28-2-79-23-67-11-27-75-25-39-20-72-74-71-55-22-40-21-38-54-73-56-1-12-57-93-98-58-92-84-97-90-36-99-15-85-37-13-91-96-95-5-4-59-88-26-51-30-68-69-19-50-65-70-34-89-10-9-62-63-48-46-18-6-47-61-29-32-100-17-83-7-16-45-81-82-87-31-44-43-86-42-14-52-53-3-94-60-24-41-66-35-64-0,1367.03,0.6147ms
