Graph Name,Version,Heuristic,Tour,Cost,Time
70-city problem (Smith/Thompson),Greedy,Nearest Neighbour,0-35-22-46-15-36-57-49-9-51-59-11-20-33-32-53-61-47-66-55-64-50-10-63-4-52-65-62-21-58-37-68-30-12-28-69-34-56-14-23-1-6-31-2-7-27-25-48-54-18-3-17-41-5-40-42-16-8-39-60-38-44-24-45-26-67-43-29-19-13-0,805.53,0.1125ms
70-city problem (Smith/Thompson),Semi-Greedy-3,Nearest Neighbour,0-35-15-36-57-46-49-51-59-9-4-11-20-16-42-43-67-29-27-25-48-54-18-6-31-7-2-13-41-17-5-40-3-1-56-23-65-62-58-68-30-12-69-34-21-37-52-22-28-50-55-64-10-47-32-33-61-66-60-38-39-44-45-26-24-19-53-14-63-8-0,1381.81,0.3542ms
70-city problem (Smith/Thompson),Semi-Greedy-5,Nearest Neighbour,0-15-22-28-30-68-12-34-21-65-52-5-42-67-43-29-2-27-25-7-13-48-19-54-18-31-1-41-6-3-40-16-20-32-66-47-53-59-50-49-57-46-36-4-11-33-8-44-24-39-45-61-60-55-63-10-38-17-23-37-58-56-35-14-69-9-51-26-64-62-0,1559.94,0.3903ms
