Graph Name,Version,Heuristic,Tour,Cost,Time
76-city problem (Christofides/Eilon),Greedy,Nearest Neighbour,0-72-61-27-73-29-1-67-74-75-66-33-45-7-34-6-52-13-18-53-12-26-51-44-28-47-46-20-35-70-59-69-19-36-4-14-56-3-25-11-39-16-50-5-32-62-15-2-43-31-8-38-71-57-9-37-64-10-65-58-30-24-49-17-23-48-22-55-40-41-42-21-60-68-63-54-0,711.99,0.1336ms
76-city problem (Christofides/Eilon),Semi-Greedy-3,Nearest Neighbour,0-42-41-63-21-27-61-1-73-20-47-4-36-69-19-59-70-35-28-26-51-7-6-52-34-18-45-66-75-74-3-33-44-29-5-32-62-22-55-23-2-31-49-17-43-39-11-71-9-37-64-65-10-13-53-14-56-12-25-67-16-15-72-60-46-40-50-48-24-54-30-8-57-68-38-58-0,990.63,0.5339ms
76-city problem (Christofides/Eilon),Semi-Greedy-5,Nearest Neighbour,0-62-22-15-2-48-43-31-38-57-37-64-65-58-34-45-6-52-13-53-26-51-12-7-18-10-25-74-67-5-75-50-11-66-3-1-72-21-41-42-61-29-47-73-44-28-14-46-4-20-27-32-39-9-8-16-23-49-24-17-55-40-60-36-70-69-35-33-68-19-30-59-54-63-71-56-0,1328.20,0.3962ms
