Graph Name,Version,Heuristic,Tour,Cost,Time
100-city problem E (Krolak/Felts/Nelson),Greedy,Nearest Neighbour,0-73-20-6-75-11-31-57-62-87-34-39-98-44-53-24-96-79-56-9-59-49-48-55-14-19-22-63-94-35-58-97-50-68-46-82-72-15-60-70-88-80-78-25-45-2-13-51-43-71-67-37-32-47-89-41-4-7-64-30-65-29-92-90-54-5-33-36-84-95-76-69-3-1-10-81-91-26-66-40-74-86-8-12-38-42-85-18-93-17-23-28-99-77-52-21-16-83-61-27-0,27587.19,0.2304ms
100-city problem E (Krolak/Felts/Nelson),Semi-Greedy-3,Nearest Neighbour,0-6-20-11-62-57-31-75-34-87-39-16-83-48-19-14-22-55-63-35-27-94-61-98-24-96-79-9-56-8-30-29-92-90-38-42-85-21-32-37-47-89-41-7-4-64-65-12-40-86-26-91-81-3-95-69-84-36-5-33-52-76-77-23-99-17-18-93-28-54-1-66-59-53-51-60-88-43-70-80-15-25-78-72-46-68-82-73-58-97-2-50-13-71-45-44-74-49-67-10-0,48367.46,0.7225ms
100-city problem E (Krolak/Felts/Nelson),Semi-Greedy-5,Nearest Neighbour,0-73-11-6-31-63-94-27-58-57-22-14-55-62-20-75-97-82-50-35-34-61-83-44-39-16-53-24-79-59-56-8-30-29-41-64-47-32-89-7-51-71-70-88-80-72-15-60-78-13-46-25-45-87-98-9-48-68-2-67-43-21-85-42-17-99-28-18-90-54-36-33-76-84-3-81-74-91-12-26-86-66-95-10-1-69-5-52-93-92-77-4-37-38-49-19-65-96-40-23-0,57547.17,0.5824ms
