Graph Name,Version,Heuristic,Tour,Cost,Time
51-city problem (Christofides/Eilon),Greedy,Nearest Neighbour,0-31-10-37-4-48-8-49-15-1-28-20-33-29-9-38-32-44-14-43-36-16-3-17-46-11-45-50-26-47-5-13-24-12-40-18-41-39-23-22-6-25-7-30-27-2-19-34-35-21-42-0,513.61,0.0837ms
51-city problem (Christofides/Eilon),Semi-Greedy-3,Nearest Neighbour,0-21-1-28-19-35-34-27-30-2-15-49-20-33-8-37-4-10-31-50-45-46-17-3-36-16-11-26-5-47-6-42-25-7-23-13-22-12-40-41-43-44-14-48-29-38-18-32-24-9-39-0,788.62,0.2411ms
51-city problem (Christofides/Eilon),Semi-Greedy-5,Nearest Neighbour,0-26-31-45-4-37-15-49-8-9-32-43-14-36-46-17-3-16-44-41-11-5-13-22-25-7-47-23-6-30-19-28-34-21-27-2-35-33-20-48-10-1-29-40-50-38-12-18-24-42-39-0,910.39,0.2300ms
