Graph Name,Version,Heuristic,Tour,Cost,Time
76-city problem (Padberg/Rinaldi),Greedy,Nearest Neighbour,0-1-22-21-20-24-23-45-44-43-47-46-68-67-66-49-48-51-52-53-41-42-27-28-29-30-18-19-4-5-6-7-8-9-10-11-12-13-14-15-16-17-36-35-34-33-39-40-59-58-57-56-62-63-61-60-54-55-50-65-64-70-71-72-38-37-31-32-26-25-3-2-74-75-73-69-0,153461.92,0.1689ms
76-city problem (Padberg/Rinaldi),Semi-Greedy-3,Nearest Neighbour,0-22-21-23-20-3-4-9-5-2-7-11-12-13-15-14-10-17-36-34-33-39-59-57-58-61-62-60-40-32-31-27-42-41-53-51-50-55-56-65-64-49-54-63-70-72-52-47-46-43-26-28-29-25-24-44-45-68-66-48-30-19-6-18-16-8-37-35-38-73-75-74-67-1-69-71-0,245964.40,0.3910ms
76-city problem (Padberg/Rinaldi),Semi-Greedy-5,Nearest Neighbour,0-1-22-3-6-7-8-11-12-10-14-16-9-4-19-18-29-28-25-30-32-33-37-36-38-35-17-39-58-57-54-52-51-49-50-64-55-65-48-41-31-53-26-47-45-43-23-20-24-21-5-13-2-27-44-67-66-68-62-56-40-34-15-60-63-59-70-42-72-46-71-69-74-73-61-75-0,295861.97,0.3756ms
